Commune,ZIP code,Index,Latitude,Longitude,Coordinates
Al Fida,20520,56,33.56363154284882,-7.599870730141732,"33.56363154284882,-7.599870730141732"
Al Fida,20520,57,33.56472392017348,-7.590697357199,"33.56472392017348,-7.590697357199"
Al Fida,20520,58,33.56704661642497,-7.584284043045241,"33.56704661642497,-7.584284043045241"
Al Fida,20520,59,33.56228433343239,-7.606299844625026,"33.56228433343239,-7.606299844625026"
Al Idrissia,20450,60,33.56010266368082,-7.575982165377473,"33.56010266368082,-7.575982165377473"
Al Idrissia,20450,61,33.55912952367036,-7.589924996035013,"33.55912952367036,-7.589924996035013"
Al Idrissia,20450,62,33.56202488728205,-7.583308487699777,"33.56202488728205,-7.583308487699777"
Al Idrissia,20450,63,33.56304333970278,-7.594587085834851,"33.56304333970278,-7.594587085834851"
Al Idrissia,20450,64,33.55644267492753,-7.580900112798377,"33.55644267492753,-7.580900112798377"
Lissasfa,20232,65,33.51749346173515,-7.680956044302029,"33.51749346173515,-7.680956044302029"
Lissasfa,20232,66,33.51459861043016,-7.666391027334933,"33.51459861043016,-7.666391027334933"
Lissasfa,20232,67,33.53203265104496,-7.675116290969239,"33.53203265104496,-7.675116290969239"
Lissasfa,20232,68,33.52105989797821,-7.661786280457402,"33.52105989797821,-7.661786280457402"
Lissasfa,20232,69,33.53278464788346,-7.645725361717879,"33.53278464788346,-7.645725361717879"
Mers Sultan,20550,70,33.57400257251262,-7.605685742605052,"33.57400257251262,-7.605685742605052"
Mers Sultan,20550,71,33.56533767985115,-7.608744229568229,"33.56533767985115,-7.608744229568229"
Mers Sultan,20550,72,33.57546259781365,-7.594686718501765,"33.57546259781365,-7.594686718501765"
Mers Sultan,20550,73,33.56259093684122,-7.614278700412314,"33.56259093684122,-7.614278700412314"
Mers Sultan,20550,74,33.58170084555344,-7.600926178445923,"33.58170084555344,-7.600926178445923"
Moulay Rachid,20660,75,33.54955776821401,-7.536334824729268,"33.54955776821401,-7.536334824729268"
Moulay Rachid,20660,76,33.54402006716618,-7.548097339633385,"33.54402006716618,-7.548097339633385"
Moulay Rachid,20660,77,33.55653446661679,-7.543527667933203,"33.55653446661679,-7.543527667933203"
Moulay Rachid,20660,78,33.5529324281346,-7.552278558694906,"33.5529324281346,-7.552278558694906"
Moulay Rachid,20660,79,33.56078191998768,-7.560994681678277,"33.56078191998768,-7.560994681678277"
Sidi Belyout,20000,80,33.58477848594879,-7.609472547859955,"33.58477848594879,-7.609472547859955"
Sidi Belyout,20000,81,33.58810958552359,-7.618509253070838,"33.58810958552359,-7.618509253070838"
Sidi Belyout,20000,82,33.57536825717185,-7.613627716591679,"33.57536825717185,-7.613627716591679"
Sidi Belyout,20000,83,33.60482811557522,-7.606751964214563,"33.60482811557522,-7.606751964214563"
Sidi Belyout,20000,84,33.59542479531202,-7.60026293900983,"33.59542479531202,-7.60026293900983"
Sidi Moumen,20400,85,33.56772744705182,-7.538376617942674,"33.56772744705182,-7.538376617942674"
Sidi Moumen,20400,86,33.5569487310012,-7.520723345748707,"33.5569487310012,-7.520723345748707"
Sidi Moumen,20400,87,33.57605088570696,-7.523572048700261,"33.57605088570696,-7.523572048700261"
Sidi Moumen,20400,88,33.59132300451878,-7.498495565389914,"33.59132300451878,-7.498495565389914"
Sidi Moumen,20400,89,33.56611830052119,-7.507467292373912,"33.56611830052119,-7.507467292373912"
Sidi Othmane,20700,90,33.54000184138823,-7.566569000859778,"33.54000184138823,-7.566569000859778"
Sidi Othmane,20700,91,33.53057392844227,-7.551319477738232,"33.53057392844227,-7.551319477738232"
Sidi Othmane,20700,92,33.53920657518655,-7.550803477680963,"33.53920657518655,-7.550803477680963"
Sidi Othmane,20700,93,33.54515394347516,-7.572127531430779,"33.54515394347516,-7.572127531430779"
Sidi Othmane,20700,94,33.55418715357771,-7.568674522035255,"33.55418715357771,-7.568674522035255"
Ahl Laghlam,29640,95,33.57570591621428,-7.490296996018019,"33.57570591621428,-7.490296996018019"
Ahl Laghlam,29640,96,33.5837260215815,-7.47070849767485,"33.5837260215815,-7.47070849767485"
Ahl Laghlam,29640,97,33.58291360926834,-7.494011307440987,"33.58291360926834,-7.494011307440987"
Ahl Laghlam,29640,98,33.57056767323311,-7.475566773089598,"33.57056767323311,-7.475566773089598"
Ahl Laghlam,29640,99,33.5638687006217,-7.492517639381455,"33.5638687006217,-7.492517639381455"
Sidi Bernoussi,20600,100,33.59683807186567,-7.490987136387706,"33.59683807186567,-7.490987136387706"
Sidi Bernoussi,20600,101,33.61952113603591,-7.49674883841787,"33.61952113603591,-7.49674883841787"
Sidi Bernoussi,20600,102,33.62366627151335,-7.516339098538356,"33.62366627151335,-7.516339098538356"
Sidi Bernoussi,20600,103,33.5983133041713,-7.507067388215285,"33.5983133041713,-7.507067388215285"
Sidi Bernoussi,20600,104,33.6254822778288,-7.508214790020274,"33.6254822778288,-7.508214790020274"
Moulay Youssef,20060,105,33.59958307991021,-7.634421075102676,"33.59958307991021,-7.634421075102676"
Moulay Youssef,20060,106,33.60559831974439,-7.619358756790684,"33.60559831974439,-7.619358756790684"
Moulay Youssef,20060,107,33.60534333123121,-7.628564980019771,"33.60534333123121,-7.628564980019771"
Moulay Youssef,20060,108,33.61231389195819,-7.609199075481694,"33.61231389195819,-7.609199075481694"
Moulay Youssef,20060,109,33.59180443723376,-7.637821262107074,"33.59180443723376,-7.637821262107074"
